,x
1,1
2,0.5
3,0.333333333
4,0.25
5,0.2
6,0.166666667
7,0.142857143
8,0.125
9,0.111111111
10,0.1
11,0.090909091
12,0.083333333
13,0.076923077
14,0.071428571
15,0.066666667
16,0.0625
17,0.058826447
18,0.055561066
19,0.052646637
20,0.050029755
21,0.047679901
22,0.045570374
23,0.043697357
24,0.04209137
25,0.040817261
26,0.040031433
27,0.040000916
28,0.038576126
29,0.037347794
30,0.036382675
31,0.035814285
32,0.035726547
33,0.034654617
34,0.033781052
35,0.033201218
36,0.033092499
37,0.032392502
38,0.031650543
39,0.031167984
40,0.031105042
41,0.03045845
42,0.029855728
43,0.029514313
44,0.029434204
45,0.02879715
46,0.028345108
47,0.028177261
48,0.027877808
49,0.027381897
50,0.027097702
51,0.027046204
52,0.026538849
53,0.026199341
54,0.026118279
55,0.025779724
56,0.025416374
57,0.025262833
58,0.025080681
59,0.024711609
60,0.024518967
61,0.024432182
62,0.024065971
63,0.023855209
64,0.023824692
65,0.023468971
66,0.023252487
67,0.02325058
68,0.022912025
69,0.022697449
70,0.022678375
71,0.022389412
72,0.022182465
73,0.022158623
74,0.021897316
75,0.021702766
76,0.021681786
77,0.02143383
78,0.021254539
79,0.021241188
80,0.020996094
81,0.020833969
82,0.020833015
83,0.020582199
84,0.020439148
85,0.020421028
86,0.020191193
87,0.020070076
88,0.020030022
89,0.019822121
90,0.019722939
91,0.019658089
92,0.019473076
93,0.019398689
94,0.019305229
95,0.019143105
96,0.019096375
97,0.018971443
98,0.018834114
99,0.018815994
100,0.018654823
101,0.018544197
102,0.018529892
103,0.018356323
104,0.0182724
105,0.018225193
106,0.018075943
107,0.018021107
108,0.01793623
109,0.017812252
110,0.017789364
111,0.017663002
112,0.017566204
113,0.01755476
114,0.017406464
115,0.017338753
116,0.017289639
117,0.017166138
118,0.017129421
119,0.017039776
120,0.016942501
121,0.01693964
122,0.016805172
123,0.016736507
124,0.016702652
125,0.016586304
126,0.016548157
127,0.01647377
128,0.016383171
129,0.016378403
130,0.01625967
131,0.016197205
132,0.016165257
133,0.016060352
134,0.016028881
135,0.015955925
136,0.015877247
137,0.01587534
138,0.015761375
139,0.015710831
140,0.015671253
141,0.015581608
142,0.015562057
143,0.015480995
144,0.015417576
145,0.015402794
146,0.015305042
147,0.015270233
148,0.015217304
149,0.015144348
150,0.01514101
151,0.015045166
152,0.01499939
153,0.014966965
154,0.01488781
155,0.014871597
156,0.014799118
157,0.014745712
158,0.014728546
159,0.014645576
160,0.014619827
161,0.014565468
162,0.01450634
163,0.014500618
164,0.014415264
165,0.014383316
166,0.014341831
167,0.014279842
168,0.014277458
169,0.014196396
170,0.014159679
171,0.014128208
172,0.014064312
173,0.014056206
174,0.013986588
175,0.013947487
176,0.013923168
177,0.013858795
178,0.013846397
179,0.013786316
180,0.013745308
181,0.013726234
182,0.013661861
183,0.013647556
184,0.013593674
185,0.013552189
186,0.01353693
187,0.013473511
188,0.013457775
189,0.013408661
190,0.013367653
191,0.013353825
192,0.013292789
193,0.013277054
194,0.013230324
195,0.013190746
196,0.013177872
197,0.013118744
198,0.013103962
199,0.013058662
200,0.013020992
201,0.013007641
202,0.012951374
203,0.012938023
204,0.0128932
205,0.012857914
206,0.012843609
207,0.012790203
208,0.012779236
209,0.012733459
210,0.012701035
211,0.012685061
212,0.012635231
213,0.012626648
214,0.012579203
215,0.012550354
216,0.012531757
217,0.012485504
218,0.012480497
219,0.012430429
220,0.012405396
221,0.012383461
222,0.012341499
223,0.01233983
224,0.012286901
225,0.012265682
226,0.012240171
227,0.012202501
228,0.012199879
229,0.012148142
230,0.012131453
231,0.012101412
232,0.01206851
233,0.012061119
234,0.012014389
235,0.012002468
236,0.011967659
237,0.011939526
238,0.011927128
239,0.011885166
240,0.011878252
241,0.011838198
242,0.011815071
243,0.011797428
244,0.011760473
245,0.011759281
246,0.011713266
247,0.011695623
248,0.01167202
249,0.011640549
250,0.011636019
251,0.011592627
252,0.011580706
253,0.011550903
254,0.011524916
255,0.011514425
256,0.011476278
257,0.011470318
258,0.01143384
259,0.011413574
260,0.011396646
261,0.011364222
262,0.011363983
263,0.011320829
264,0.011306524
265,0.011282921
266,0.011256218
267,0.011249304
268,0.011211872
269,0.011204004
270,0.01117301
271,0.011152267
272,0.011138678
273,0.011106968
274,0.011105776
275,0.011066914
276,0.011052608
277,0.011031628
278,0.011006117
279,0.011000395
280,0.01096487
281,0.010957241
282,0.010928631
283,0.010909081
284,0.010896206
285,0.010866642
286,0.010865927
287,0.01082921
288,0.010816336
289,0.010795832
290,0.010772467
291,0.010766029
292,0.010733604
293,0.010727406
294,0.010698795
295,0.010681868
296,0.010668039
297,0.010641575
298,0.010640621
299,0.010605574
300,0.01059556
301,0.010573626
302,0.010553598
303,0.010545015
304,0.010516167
305,0.010513067
306,0.010482788
307,0.010469198
308,0.010452747
309,0.010430336
310,0.010426044
311,0.010395527
312,0.010388851
313,0.010364294
314,0.01034832
315,0.010336161
316,0.010311842
317,0.010310888
318,0.010279179
319,0.01026988
320,0.010249853
321,0.010231733
322,0.010223389
323,0.010197639
324,0.010195732
325,0.010166883
326,0.010155678
327,0.010138988
328,0.010119677
329,0.010113955
330,0.010087252
331,0.010083199
332,0.010058165
333,0.01004529
334,0.0100317
335,0.010011435
336,0.010007858
337,0.009980679
338,0.009974957
339,0.009952784
340,0.009938955
341,0.00992775
342,0.00990653
343,0.009904861
344,0.009877205
345,0.009870529
346,0.00985074
347,0.009836197
348,0.00982666
349,0.009805202
350,0.009804726
351,0.009777308
352,0.00976944
353,0.009751797
354,0.009736776
355,0.00972867
356,0.009706974
357,0.009706497
358,0.009680033
359,0.009671926
360,0.009655476
361,0.009640217
362,0.009633064
363,0.009611607
364,0.009610653
365,0.009585619
366,0.009577274
367,0.009562016
368,0.009546757
369,0.009540319
370,0.0095191
371,0.009517908
372,0.009493828
373,0.009485483
374,0.00947094
375,0.009456158
376,0.009449959
377,0.009429216
378,0.009428024
379,0.009404659
380,0.009396553
381,0.009382248
382,0.009367943
383,0.009361744
384,0.009341955
385,0.009340763
386,0.009317875
387,0.009310246
388,0.009296179
389,0.009282351
390,0.009275913
391,0.00925684
392,0.009256363
393,0.009233475
394,0.009226561
395,0.009212017
396,0.009199142
397,0.009192467
398,0.009174347
399,0.009174347
400,0.00915122
401,0.009145021
402,0.009130239
403,0.009118319
404,0.009110928
405,0.009093761
406,0.009093046
407,0.009071112
408,0.009065866
409,0.009050369
410,0.00903964
411,0.009031296
412,0.00901556
413,0.009013653
414,0.008993149
415,0.008989096
416,0.008972645
417,0.008963108
418,0.00895381
419,0.008939266
420,0.008936405
421,0.008917332
422,0.008914232
423,0.008896947
424,0.008888602
425,0.008878231
426,0.008864999
427,0.008860946
428,0.008843184
429,0.008841634
430,0.008823037
431,0.008816123
432,0.00880444
433,0.008792758
434,0.008787274
435,0.008771062
436,0.008770823
437,0.008751035
438,0.00874567
439,0.008732557
440,0.008722305
441,0.008715391
442,0.008700848
443,0.008699417
444,0.00868082
445,0.008677006
446,0.008662343
447,0.008653879
448,0.008645177
449,0.008632302
450,0.008629322
451,0.008612394
452,0.008610249
453,0.008593917
454,0.008587122
455,0.008576751
456,0.008565664
457,0.008560896
458,0.008545756
459,0.008545399
460,0.00852716
461,0.008522153
462,0.008509994
463,0.008500695
464,0.00849402
465,0.008480668
466,0.008479118
467,0.008462191
468,0.008459091
469,0.008444905
470,0.008437514
471,0.008428812
472,0.008417368
473,0.008413911
474,0.008398771
475,0.008397579
476,0.008381367
477,0.008376002
478,0.008365273
479,0.008355737
480,0.008350134
481,0.008337021
482,0.008336067
483,0.008319497
484,0.008316159
485,0.008303165
486,0.008295774
487,0.008288026
488,0.00827682
489,0.008273721
490,0.008259177
491,0.008257866
492,0.008242726
493,0.008237362
494,0.008227348
495,0.008218288
496,0.008212924
497,0.008200407
498,0.008199573
499,0.008183837
500,0.008180618